scroll_code.started,scroll_code.stopped,participant,date,expName,psychopyVersion,OS,frameRate,explanatory_statement.started,explanatory_statement.stopped,instruction.started,instruction.stopped,instruction_prestimulus.started,instruction_prestimulus.stopped,instruction_stimulus.started,instruction_stimulus.stopped,instruction_question.started,instruction_question.stopped,instruction_question_continue.started,instruction_question_continue.stopped,start_practice.started,start_practice.stopped,practice_prestimulus.started,practice_prestimulus.stopped,practice_stimulus.started,practice_stimulus.stopped,select_questionnaire.started,select_questionnaire.stopped,practice_response.started,practice_response.stopped,response_mouse0_3.x,response_mouse0_3.y,response_mouse0_3.leftButton,response_mouse0_3.midButton,response_mouse0_3.rightButton,response_mouse0_3.clicked_name,rating,response_time,repeat_practice.thisRepN,repeat_practice.thisTrialN,repeat_practice.thisN,repeat_practice.thisIndex,repeat_practice.ran,repeat_practice.order,stim_id,soa_id,stim_color_id,condition_name,fixation_w,fixation_h,target_onset,target_d,inner_ring_onset_relative_to_target,inner_ring_onset,inner_ring_inner_d,inner_ring_outer_d,resp_onset,target_colorR,target_colorG,target_colorB,inner_ring_colorR,inner_ring_colorG,inner_ring_colorB,background_colorR,background_colorG,background_colorB,response_continue.started,response_continue.stopped,start_exp1.started,start_exp1.stopped,prestimulus.started,prestimulus.stopped,stimulus.started,stimulus.stopped,response.started,response.stopped,response_mouse0.x,response_mouse0.y,response_mouse0.leftButton,response_mouse0.midButton,response_mouse0.rightButton,response_mouse0.clicked_name,repeat_TM2_M1.thisRepN,repeat_TM2_M1.thisTrialN,repeat_TM2_M1.thisN,repeat_TM2_M1.thisIndex,repeat_TM2_M1.ran,repeat_TM2_M1.order,sortkey,end_exp1.started,end_exp1.stopped
,,,2025-03-23_11h16.20.900,standard_metacontrast,2024.2.4,Win32,48.30917874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,,2,2,0,exp1_practice,0.05,0.05,0,0.05,50,50,0.05,0.066666667,80,-0.5,-0.5,-0.5,-1,-1,-1,0,0,0,20.1803,20.6591,,,,,,,,,,,,,,,,,,,,,,,
,,,2025-03-23_11h16.20.900,standard_metacontrast,2024.2.4,Win32,48.30917874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6596,22.5341,,,,,,,,,,,,,,,,,,,,,
,,,2025-03-23_11h16.20.900,standard_metacontrast,2024.2.4,Win32,48.30917874,,,,,,,,,,,,,,,,,,,23.8673,24.3674,,,,,,,,,4,4.5202,,,,,,,3,3,2,exp1_TM2_M1,0.05,0.05,0,0.05,1,1,0.05,0.066666667,31,-0.5,-0.5,-0.5,-1,-1,-1,0,0,0,,,,,22.5401,23.8253,23.8256,23.8673,24.3676,28.8881,0.08148151,0.110185164,1,0,0,response_panel03,0,0,0,0,1,24,0.246583861,,
,,,2025-03-23_11h16.20.900,standard_metacontrast,2024.2.4,Win32,48.30917874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,exp1_TM2_M1,0.05,0.05,0,0.05,1,1,0.05,0.066666667,31,-0.5,-0.5,-0.5,-1,-1,-1,0,0,0,28.8893,29.4496,,,,,,,,,,,,,,,0,0,0,0,1,,0.246583861,,
,,,2025-03-23_11h16.20.900,standard_metacontrast,2024.2.4,Win32,48.30917874,,,,,,,,,,,,,,,,,,,30.7623,31.2625,,,,,,,,,4,0.4995,,,,,,,2,2,2,exp1_TM2_M1,0.05,0.05,0,0.05,0,0,0.05,0.066666667,30,-0.5,-0.5,-0.5,-1,-1,-1,0,0,0,,,,,29.45,30.7416,30.7417,30.7623,31.2625,31.7621,0.048148191,0.077777757,1,0,0,response_panel03,0,1,1,1,1,24,0.83348292,,
,,,2025-03-23_11h16.20.900,standard_metacontrast,2024.2.4,Win32,48.30917874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,exp1_TM2_M1,0.05,0.05,0,0.05,0,0,0.05,0.066666667,30,-0.5,-0.5,-0.5,-1,-1,-1,0,0,0,31.7636,32.2203,,,,,,,,,,,,,,,0,1,1,1,1,,0.83348292,,
,,,2025-03-23_11h16.20.900,standard_metacontrast,2024.2.4,Win32,48.30917874,,,,,,,,,,,,,,,,,,,33.6163,34.1163,,,,,,,,,2,2.7699,,,,,,,6,6,2,exp1_TM2_M1,0.05,0.05,0,0.05,4,4,0.05,0.066666667,34,-0.5,-0.5,-0.5,-1,-1,-1,0,0,0,,,,,32.2207,33.5121,33.5123,33.6162,34.1164,36.8864,0.08148151,-0.051851873,1,0,0,response_panel02,0,2,2,2,1,24,0.734218101,,
,,,2025-03-23_11h16.20.900,standard_metacontrast,2024.2.4,Win32,48.30917874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,2,exp1_TM2_M1,0.05,0.05,0,0.05,4,4,0.05,0.066666667,34,-0.5,-0.5,-0.5,-1,-1,-1,0,0,0,36.8871,37.6783,,,,,,,,,,,,,,,0,2,2,2,1,,0.734218101,,
,,,2025-03-23_11h16.20.900,standard_metacontrast,2024.2.4,Win32,48.30917874,,,,,,,,,,,,,,,,,,,39.0321,39.5319,,,,,,,,,1,3.7709,,,,,,,4,4,2,exp1_TM2_M1,0.05,0.05,0,0.05,2,2,0.05,0.066666667,32,-0.5,-0.5,-0.5,-1,-1,-1,0,0,0,,,,,37.6788,38.9694,38.9695,39.0321,39.532,43.3029,0.021296325,-0.091666681,1,0,0,response_panel02,0,3,3,3,1,24,0.778187038,,
,,,2025-03-23_11h16.20.900,standard_metacontrast,2024.2.4,Win32,48.30917874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,2,exp1_TM2_M1,0.05,0.05,0,0.05,2,2,0.05,0.066666667,32,-0.5,-0.5,-0.5,-1,-1,-1,0,0,0,43.3034,43.8022,,,,,,,,,,,,,,,0,3,3,3,1,,0.778187038,,
,,,2025-03-23_11h16.20.900,standard_metacontrast,2024.2.4,Win32,48.30917874,,,,,,,,,,,,,,,,,,,45.1774,45.6774,,,,,,,,,-4,2.3326,,,,,,,5,5,2,exp1_TM2_M1,0.05,0.05,0,0.05,3,3,0.05,0.066666667,33,-0.5,-0.5,-0.5,-1,-1,-1,0,0,0,,,,,43.8027,45.0939,45.094,45.1774,45.6775,48.0101,-0.057407379,0.092592593,1,0,0,response_panel00,0,4,4,4,1,24,0.233750745,,
,,,2025-03-23_11h16.20.900,standard_metacontrast,2024.2.4,Win32,48.30917874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,2,exp1_TM2_M1,0.05,0.05,0,0.05,3,3,0.05,0.066666667,33,-0.5,-0.5,-0.5,-1,-1,-1,0,0,0,48.0114,48.531,,,,,,,,,,,,,,,0,4,4,4,1,,0.233750745,,
,,,2025-03-23_11h16.20.900,standard_metacontrast,2024.2.4,Win32,48.30917874,,,,,,,,,,,,,,,,,,,49.8648,50.3641,,,,,,,,,1,2.0002,,,,,,,3,3,2,exp1_TM2_M1,0.05,0.05,0,0.05,1,1,0.05,0.066666667,31,-0.5,-0.5,-0.5,-1,-1,-1,0,0,0,,,,,48.5315,49.8223,49.8225,49.8647,50.3642,52.3645,0.029629672,-0.075925933,1,0,0,response_panel02,1,0,5,0,1,24,0.246583861,,
,,,2025-03-23_11h16.20.900,standard_metacontrast,2024.2.4,Win32,48.30917874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,exp1_TM2_M1,0.05,0.05,0,0.05,1,1,0.05,0.066666667,31,-0.5,-0.5,-0.5,-1,-1,-1,0,0,0,52.3653,52.8036,,,,,,,,,,,,,,,1,0,5,0,1,,0.246583861,,
,,,2025-03-23_11h16.20.900,standard_metacontrast,2024.2.4,Win32,48.30917874,,,,,,,,,,,,,,,,,,,54.1135,54.6138,,,,,,,,,4,0.5211,,,,,,,2,2,2,exp1_TM2_M1,0.05,0.05,0,0.05,0,0,0.05,0.066666667,30,-0.5,-0.5,-0.5,-1,-1,-1,0,0,0,,,,,52.8049,54.0932,54.0934,54.1135,54.6138,55.1349,0.055555556,0.086111104,1,0,0,response_panel03,1,1,6,1,1,24,0.83348292,,
,,,2025-03-23_11h16.20.900,standard_metacontrast,2024.2.4,Win32,48.30917874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,exp1_TM2_M1,0.05,0.05,0,0.05,0,0,0.05,0.066666667,30,-0.5,-0.5,-0.5,-1,-1,-1,0,0,0,55.1369,55.551,,,,,,,,,,,,,,,1,1,6,1,1,,0.83348292,,
,,,2025-03-23_11h16.20.900,standard_metacontrast,2024.2.4,Win32,48.30917874,,,,,,,,,,,,,,,,,,,56.9464,57.4465,,,,,,,,,2,2.3126,,,,,,,6,6,2,exp1_TM2_M1,0.05,0.05,0,0.05,4,4,0.05,0.066666667,34,-0.5,-0.5,-0.5,-1,-1,-1,0,0,0,,,,,55.5514,56.8423,56.8425,56.9464,57.4466,59.7592,0.071296339,-0.036111125,1,0,0,response_panel02,1,2,7,2,1,24,0.734218101,,
,,,2025-03-23_11h16.20.900,standard_metacontrast,2024.2.4,Win32,48.30917874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,2,exp1_TM2_M1,0.05,0.05,0,0.05,4,4,0.05,0.066666667,34,-0.5,-0.5,-0.5,-1,-1,-1,0,0,0,59.76,60.1546,,,,,,,,,,,,,,,1,2,7,2,1,,0.734218101,,
,,,2025-03-23_11h16.20.900,standard_metacontrast,2024.2.4,Win32,48.30917874,,,,,,,,,,,,,,,,,,,61.5089,62.0084,,,,,,,,,-2,0.7711,,,,,,,4,4,2,exp1_TM2_M1,0.05,0.05,0,0.05,2,2,0.05,0.066666667,32,-0.5,-0.5,-0.5,-1,-1,-1,0,0,0,,,,,60.155,61.4461,61.4462,61.5089,62.0085,62.7795,-0.06759255,-0.035185178,1,0,0,response_panel01,1,3,8,3,1,24,0.778187038,,
,,,2025-03-23_11h16.20.900,standard_metacontrast,2024.2.4,Win32,48.30917874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,2,exp1_TM2_M1,0.05,0.05,0,0.05,2,2,0.05,0.066666667,32,-0.5,-0.5,-0.5,-1,-1,-1,0,0,0,62.7802,63.1961,,,,,,,,,,,,,,,1,3,8,3,1,,0.778187038,,
,,,2025-03-23_11h16.20.900,standard_metacontrast,2024.2.4,Win32,48.30917874,,,,,,,,,,,,,,,,,,,64.5709,65.0709,,,,,,,,,1,0.7494,,,,,,,5,5,2,exp1_TM2_M1,0.05,0.05,0,0.05,3,3,0.05,0.066666667,33,-0.5,-0.5,-0.5,-1,-1,-1,0,0,0,,,,,63.1964,64.4872,64.4873,64.5708,65.0709,65.8204,0.043518561,-0.054629644,1,0,0,response_panel02,1,4,9,4,1,24,0.233750745,,
,,,2025-03-23_11h16.20.900,standard_metacontrast,2024.2.4,Win32,48.30917874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,2,exp1_TM2_M1,0.05,0.05,0,0.05,3,3,0.05,0.066666667,33,-0.5,-0.5,-0.5,-1,-1,-1,0,0,0,65.8209,66.2171,,,,,,,,,,,,,,,1,4,9,4,1,,0.233750745,,
,,,2025-03-23_11h16.20.900,standard_metacontrast,2024.2.4,Win32,48.30917874,,,,,,,,,,,,,,,,,,,67.55,68.0497,,,,,,,,,-4,1.0207,,,,,,,3,3,2,exp1_TM2_M1,0.05,0.05,0,0.05,1,1,0.05,0.066666667,31,-0.5,-0.5,-0.5,-1,-1,-1,0,0,0,,,,,66.2178,67.508,67.5082,67.55,68.0497,69.0705,-0.04351849,0.076851845,1,0,0,response_panel00,2,0,10,0,1,24,0.246583861,,
,,,2025-03-23_11h16.20.900,standard_metacontrast,2024.2.4,Win32,48.30917874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,exp1_TM2_M1,0.05,0.05,0,0.05,1,1,0.05,0.066666667,31,-0.5,-0.5,-0.5,-1,-1,-1,0,0,0,69.0712,69.5258,,,,,,,,,,,,,,,2,0,10,0,1,,0.246583861,,
,,,2025-03-23_11h16.20.900,standard_metacontrast,2024.2.4,Win32,48.30917874,,,,,,,,,,,,,,,,,,,70.8411,71.3406,,,,,,,,,4,0.3957,,,,,,,2,2,2,exp1_TM2_M1,0.05,0.05,0,0.05,0,0,0.05,0.066666667,30,-0.5,-0.5,-0.5,-1,-1,-1,0,0,0,,,,,69.5264,70.8201,70.8203,70.8411,71.3406,71.7363,0.036111125,0.080555563,1,0,0,response_panel03,2,1,11,1,1,24,0.83348292,,
,,,2025-03-23_11h16.20.900,standard_metacontrast,2024.2.4,Win32,48.30917874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,exp1_TM2_M1,0.05,0.05,0,0.05,0,0,0.05,0.066666667,30,-0.5,-0.5,-0.5,-1,-1,-1,0,0,0,71.7368,72.0699,,,,,,,,,,,,,,,2,1,11,1,1,,0.83348292,,
,,,2025-03-23_11h16.20.900,standard_metacontrast,2024.2.4,Win32,48.30917874,,,,,,,,,,,,,,,,,,,73.4658,73.9703,,,,,,,,,1,1.287,,,,,,,6,6,2,exp1_TM2_M1,0.05,0.05,0,0.05,4,4,0.05,0.066666667,34,-0.5,-0.5,-0.5,-1,-1,-1,0,0,0,,,,,72.0704,73.3612,73.3613,73.4658,73.9703,75.2572,0.042592578,-0.059259273,1,0,0,response_panel02,2,2,12,2,1,24,0.734218101,,
,,,2025-03-23_11h16.20.900,standard_metacontrast,2024.2.4,Win32,48.30917874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,2,exp1_TM2_M1,0.05,0.05,0,0.05,4,4,0.05,0.066666667,34,-0.5,-0.5,-0.5,-1,-1,-1,0,0,0,75.2581,75.6322,,,,,,,,,,,,,,,2,2,12,2,1,,0.734218101,,
,,,2025-03-23_11h16.20.900,standard_metacontrast,2024.2.4,Win32,48.30917874,,,,,,,,,,,,,,,,,,,76.9858,77.4858,,,,,,,,,-3,1.1041,,,,,,,4,4,2,exp1_TM2_M1,0.05,0.05,0,0.05,2,2,0.05,0.066666667,32,-0.5,-0.5,-0.5,-1,-1,-1,0,0,0,,,,,75.6327,76.9238,76.9239,76.9858,77.4859,78.5901,-0.099074046,0.038888896,1,0,0,response_panel00,2,3,13,3,1,24,0.778187038,,
,,,2025-03-23_11h16.20.900,standard_metacontrast,2024.2.4,Win32,48.30917874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,2,exp1_TM2_M1,0.05,0.05,0,0.05,2,2,0.05,0.066666667,32,-0.5,-0.5,-0.5,-1,-1,-1,0,0,0,78.5907,79.048,,,,,,,,,,,,,,,2,3,13,3,1,,0.778187038,,
